User,FirstName,LastName,Last Attempt,Marking,Overdue,Up To Date,Completed,Percentage Completed,Compliant,Assigned Date,Due Date or Initial Compliance Due Date,Active,Prerequisites Completed,Currently Assigned,AssignedBy,Expiration Date,External Employee ID,CompanyName,Username,Email,Title,StartDate,CompletedDate,Compliant Until,CustomField1,CustomField2,CustomField3,CustomField4,CustomField5,CustomField6,CustomField7,CustomField8,CustomField9,CustomField10
Captain Ahab,Captain,Ahab,,FALSE,FALSE,TRUE,FALSE,,FALSE,,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,cahab@acmetesting.com,cahab@acmetesting.com,,,,,,,,,,,,,,
Captain Nemo,Captain,Nemo,,FALSE,FALSE,TRUE,FALSE,0,FALSE,03/28/2019,,FALSE,FALSE,TRUE,Team,,,ACME Testing Agency,cnemo@acmetesting.com,cnemo@acmetesting.com,,,,,,,,,,,,,,
Cheshire Cat,Cheshire,Cat,05/22/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,05/07/2019,,FALSE,FALSE,TRUE,Team,,,ACME Testing Agency,ccat@acmetesting.com,ccat@acmetesting.com,Marketing,05/22/2019,05/22/2019,,,,,,,,,,,
Cowardly Lion,Cowardly,Lion,11/14/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,03/28/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,clion,clion@acmetesting.com,Harvester,11/14/2019,11/14/2019,,,,,,,,,,,
Doctor Jekyll,Doctor,Jekyll,11/15/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,03/28/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,djekyll@acmetesting.com,djekyll@acmetesting.com,Chief Scientist,11/15/2019,11/15/2019,,,,,,,,,,,
Don Quixote,Don,Quixote,02/08/2021,FALSE,FALSE,TRUE,TRUE,100,TRUE,02/05/2021,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,quixoted@acmetesting.com,quixoted@acmetesting.com,,02/08/2021,02/08/2021,02/08/2023,,,,,,,,,,
Dorian Gray,Dorian,Gray,,FALSE,FALSE,TRUE,FALSE,0,FALSE,04/02/2019,,TRUE,FALSE,TRUE,Multiple,,,ACME Testing Agency,dgray@acmetesting.com,dgray@acmetesting.com,,05/06/2019,,,,,,,,,,,,
Dorothy Gale,Dorothy,Gale,05/08/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,03/28/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,dgale@acmetesting.com,dgale@acmetesting.com,,05/07/2019,05/08/2019,,,,,,,,,,,
Ebenezer (Ben) Scrooge,Ebenezer (Ben),Scrooge,05/24/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,04/02/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,escrooge@acmetesting.com,escrooge@acmetesting.com,CFO,05/06/2019,05/24/2019,,,,,,,,,,,
Humpty Dumpty,Humpty,Dumpty,11/14/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,03/28/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,hdumpty@acmetesting.com,hdumpty@acmetesting.com,,11/14/2019,11/14/2019,,,,,,,,,,,
Jack Pumpkinhead,Jack,Pumpkinhead,,FALSE,FALSE,TRUE,FALSE,0,FALSE,04/02/2019,,FALSE,FALSE,TRUE,Team,,,ACME Testing Agency,jpumpkinhead@acmetesting.com,jpumpkinhead@acmetesting.com,Holiday Coordinator,,,,,,,,,,,,,
James Moriarty,James,Moriarty,11/15/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,04/02/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,jmoriarty@acmetesting.com,jmoriarty@acmetesting.com,R&D Lead,11/15/2019,11/15/2019,,,,,,,,,,,
John Carter,John,Carter,,FALSE,FALSE,TRUE,FALSE,0,FALSE,03/28/2019,,FALSE,FALSE,TRUE,Team,,,ACME Testing Agency,jcarter@acmetesting.com,jcarter@acmetesting.com,,,,,,,,,,,,,,
King Arthur,King,Arthur,,FALSE,FALSE,TRUE,FALSE,0,FALSE,01/03/2019,,TRUE,FALSE,TRUE,Multiple,,,ACME Testing Agency,karthur@acmetesting.com,karthur@acmetesting.com,CEO & King,,,,14701,2854381,5390241,,,,,,,
KING KONG,KING,KONG,11/14/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,03/28/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,kkong@acmetesting.com,kkong@acmetesting.com,Engineer,11/14/2019,11/14/2019,,,,,,,,,,,
Mad Hatter,Mad,Hatter,,FALSE,FALSE,TRUE,FALSE,0,FALSE,04/02/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,mhatter@acmetesting.com,mhatter@acmetesting.com,Production,,,,,,,,,,,,,
Mister Hyde,Mister,Hyde,11/14/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,04/02/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,mhyde@acmetesting.com,mhyde@acmetesting.com,Researcher - Mayhem,11/14/2019,11/14/2019,,,,,,,,,,,
Moby Dick,Moby,Dick,02/10/2021,FALSE,FALSE,TRUE,TRUE,100,TRUE,02/05/2021,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,MDICK@ACMETESTING.COM,MDICK@ACMETESTING.COM,,02/10/2021,02/10/2021,02/10/2023,,,,,,,,,,
Mother Goose,Mother,Goose,,FALSE,FALSE,TRUE,FALSE,0,FALSE,04/02/2019,,FALSE,FALSE,TRUE,Team,,,ACME Testing Agency,mgoose@acmetesting.com,mgoose@acmetesting.com,Day Care Supervisor,,,,,,,,,,,,,
Natty Bumppo,Natty,Bumppo,11/18/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,04/02/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,nbumppo@acmetesting.com,nbumppo@acmetesting.com,,11/18/2019,11/18/2019,,,,,,,,,,,
Paul Bunyan,Paul,Bunyan,12/05/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,04/02/2019,,FALSE,FALSE,TRUE,Team,,,ACME Testing Agency,pbunyan@acmetesting.com,pbunyan@acmetesting.com,,12/05/2019,12/05/2019,,,,,,,,,,,
Robin Hood,Robin,Hood,,FALSE,FALSE,TRUE,FALSE,0,FALSE,05/05/2021,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,rhood@acmetesting.com,rhood@acmetesting.com,Accounting,,,,,,,,,,,,,
Sherlock Holmes,Sherlock,Holmes,11/14/2019,FALSE,FALSE,TRUE,TRUE,100,FALSE,10/23/2019,,FALSE,FALSE,TRUE,Team,,,ACME Testing Agency,s_holmes@acmetesting.com,s_holmes@acmetesting.com,Lead Investigator,11/14/2019,11/14/2019,,,,,,,,,,,
Tin Woodman,Tin,Woodman,08/03/2020,FALSE,FALSE,TRUE,TRUE,100,TRUE,07/29/2020,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,t woodman@acmetesting.com,t woodman@acmetesting.com,Cutter,08/03/2020,08/03/2020,08/03/2022,,,,,,,,,,
White Rabbit,White,Rabbit,,FALSE,FALSE,TRUE,FALSE,0,FALSE,01/03/2019,,TRUE,FALSE,TRUE,Team,,,ACME Testing Agency,wrabbit@acmetesting.com,wrabbit@acmetesting.com,,,,,,,,,,,,,,
