FullName,UserName,FirstName,LastName,Email,CompanyName,CustomField1,CustomField2,CustomField3,CustomField4,CustomField5,CustomField6,CustomField7,CustomField8,CustomField9,CustomField10,Title,External Employee ID,TotalCourses,Active,UpToDate,Marking,Complete,PercentageComplete,Id,LoginDate,CreatedDate,Teams,Started,NotStarted,TotalCompleted,TotalEarnedPoint,TotalEarnedBadge,Website,Address,City,State,Zip,Country,TimeZone,Language,WorkPhone,MobilePhone,Skype,Twitter,AccessLevelId,SalesforceId,Brand,Access Role,Manager,ProfileType
Captain Ahab,cahab@acmetesting.com,Captain,Ahab,cahab@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,12,16327190,12/10/2019,11/22/2019,Acme Testing - Employees,1,6,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Captain Nemo,cnemo@acmetesting.com,Captain,Nemo,cnemo@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,12,16849151,03/24/2020,03/24/2020,Acme Testing - Employees,0,7,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Cheshire Cat,ccat@acmetesting.com,Cheshire,Cat,ccat@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Marketing,,8,FALSE,FALSE,FALSE,FALSE,0,16331919,,11/25/2019,Acme Testing - Supervisors,0,8,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Cowardly Lion,clion,Cowardly,Lion,clion@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Harvester,,8,TRUE,FALSE,FALSE,FALSE,12,16700843,02/18/2020,02/18/2020,Acme Testing - Employees,0,7,1,0,0,,,,,,USA,Eastern Standard Time,en-US,,,,,5,,Default,,,
Doctor Jekyll,djekyll@acmetesting.com,Doctor,Jekyll,djekyll@acmetesting.com,ACME Testing Agency,,,,,,,,,,,Chief Scientist,,8,TRUE,FALSE,FALSE,FALSE,0,11622206,,08/20/2018,Acme Testing - Supervisors,0,8,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Don Quixote,quixoted@acmetesting.com,Don,Quixote,quixoted@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,0,13843406,11/29/2018,11/29/2018,Acme Testing - Supervisors,1,7,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Dorian Gray,dgray@acmetesting.com,Dorian,Gray,dgray@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,0,11622150,,08/20/2018,Acme Testing - Federal,0,8,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Dorothy Gale,dgale@acmetesting.com,Dorothy,Gale,dgale@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,12,16655648,03/26/2020,02/06/2020,Acme Testing - Employees,0,7,1,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Ebenezer (Ben) Scrooge,escrooge@acmetesting.com,Ebenezer (Ben),Scrooge,escrooge@acmetesting.com,ACME Testing Agency,,,,,,,,,,,CFO,,8,FALSE,FALSE,FALSE,FALSE,0,16625054,02/03/2020,01/29/2020,Acme Testing - Supervisors,1,7,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
Humpty Dumpty,hdumpty@acmetesting.com,Humpty,Dumpty,hdumpty@acmetesting.com,ACME Testing Agency,,,,,,,,,,,,,8,TRUE,FALSE,FALSE,FALSE,0,11622152,,08/20/2018,Acme Testing - Employees,0,8,0,0,0,,,,,,,Eastern Standard Time,en-US,,,,,5,,Default,,,
