User,FirstName,LastName,Score,Attempt,Time Taken,Marking,Locked,Up To Date,Complete,Status,Email,Last Attempt,Overall Rating,Overall Machine Score,Overall Sentiment Score
Captain Ahab,Captain,Ahab,100,2,0:04:08,FALSE,FALSE,FALSE,TRUE,Passed,cahab@acmetesting.com,05/27/2020,0,0,
Captain Nemo,Captain,Nemo,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,cnemo@acmetesting.com,,0,0,
Cheshire Cat,Cheshire,Cat,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,ccat@acmetesting.com,,0,0,
Cowardly Lion,Cowardly,Lion,100,2,0:02:04,FALSE,FALSE,FALSE,TRUE,Passed,clion@acmetesting.com,10/19/2020,0,0,
Doctor Jekyll,Doctor,Jekyll,100,1,0:06:45,FALSE,FALSE,FALSE,TRUE,Passed,djekyll@acmetesting.com,09/15/2018,0,0,
Don Quixote,Don,Quixote,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,quixoted@acmetesting.com,,0,0,
Dorian Gray,Dorian,Gray,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,dgray@acmetesting.com,,0,0,
Dorothy Gale,Dorothy,Gale,100,3,0:05:55,FALSE,FALSE,FALSE,TRUE,Passed,dgale@acmetesting.com,02/18/2020,0,0,
Ebenezer (Ben) Scrooge,Ebenezer (Ben),Scrooge,100,8,0:03:26,FALSE,FALSE,FALSE,TRUE,Passed,escrooge@acmetesting.com,10/23/2020,0,0,
Humpty Dumpty,Humpty,Dumpty,100,1,0:07:53,FALSE,FALSE,FALSE,TRUE,Passed,hdumpty@acmetesting.com,10/27/2018,0,0,
Jack Pumpkinhead,Jack,Pumpkinhead,100,2,0:03:40,FALSE,FALSE,FALSE,TRUE,Passed,jpumpkinhead@acmetesting.com,10/24/2019,0,0,
James Moriarty,James,Moriarty,100,3,0:03:06,FALSE,FALSE,FALSE,TRUE,Passed,jmoriarty@acmetesting.com,08/27/2020,0,0,
John Carter,John,Carter,100,6,0:02:37,FALSE,FALSE,FALSE,TRUE,Passed,jcarter@acmetesting.com,07/28/2020,0,0,
King Arthur,King,Arthur,100,1,0:11:00,FALSE,FALSE,FALSE,TRUE,Passed,karthur@acmetesting.com,06/01/2020,0,0,
KING KONG,KING,KONG,0,1,0:01:05,FALSE,FALSE,FALSE,FALSE,In Progress,kkong@acmetesting.com,,0,0,
Mad Hatter,Mad,Hatter,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,mhatter@acmetesting.com,,0,0,
Mister Hyde,Mister,Hyde,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,mhyde@acmetesting.com,,0,0,
Moby Dick,Moby,Dick,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,MDICK@ACMETESTING.COM,,0,0,
Mother Goose,Mother,Goose,100,4,0:02:18,FALSE,FALSE,FALSE,TRUE,Passed,mgoose@acmetesting.com,06/07/2020,0,0,
Natty Bumppo,Natty,Bumppo,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,nbumppo@acmetesting.com,,0,0,
Paul Bunyan,Paul,Bunyan,100,3,0:04:28,FALSE,FALSE,FALSE,TRUE,Passed,pbunyan@acmetesting.com,03/24/2020,0,0,
Robin Hood,Robin,Hood,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,rhood@acmetesting.com,,0,0,
Sherlock Holmes,Sherlock,Holmes,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,s_holmes@acmetesting.com,,0,0,
Tin Woodman,Tin,Woodman,100,2,0:03:35,FALSE,FALSE,FALSE,TRUE,Passed,t woodman@acmetesting.com,09/28/2020,0,0,
White Rabbit,White,Rabbit,100,2,0:10:39,FALSE,FALSE,FALSE,TRUE,Passed,wrabbit@acmetesting.com,08/20/2020,0,0,
