User,FirstName,LastName,Score,Attempt,Time Taken,Marking,Locked,Up To Date,Complete,Status,Email,Last Attempt,Overall Rating,Overall Machine Score,Overall Sentiment Score
Captain Ahab,Captain,Ahab,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,cahab@acmetesting.com,,0,0,
Captain Nemo,Captain,Nemo,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,cnemo@acmetesting.com,,0,0,
Cheshire Cat,Cheshire,Cat,0,1,0:02:23,FALSE,FALSE,FALSE,TRUE,Passed,ccat@acmetesting.com,12/09/2019,0,0,
Cowardly Lion,Cowardly,Lion,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,clion@acmetesting.com,,0,0,
Doctor Jekyll,Doctor,Jekyll,0,1,0:03:19,FALSE,FALSE,FALSE,TRUE,Passed,djekyll@acmetesting.com,03/31/2020,0,0,
Don Quixote,Don,Quixote,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,quixoted@acmetesting.com,,0,0,
Dorian Gray,Dorian,Gray,0,1,0:02:17,FALSE,FALSE,FALSE,TRUE,Passed,dgray@acmetesting.com,08/25/2020,0,0,
Dorothy Gale,Dorothy,Gale,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,dgale@acmetesting.com,,0,0,
Ebenezer (Ben) Scrooge,Ebenezer (Ben),Scrooge,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,escrooge@acmetesting.com,,0,0,
Humpty Dumpty,Humpty,Dumpty,0,1,0:02:19,FALSE,FALSE,FALSE,TRUE,Passed,hdumpty@acmetesting.com,04/03/2020,0,0,
Jack Pumpkinhead,Jack,Pumpkinhead,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,jpumpkinhead@acmetesting.com,,0,0,
James Moriarty,James,Moriarty,0,1,0:02:06,FALSE,FALSE,FALSE,TRUE,Passed,jmoriarty@acmetesting.com,08/27/2020,0,0,
John Carter,John,Carter,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,jcarter@acmetesting.com,,0,0,
King Arthur,King,Arthur,0,1,0:00:24,FALSE,FALSE,FALSE,FALSE,In Progress,karthur@acmetesting.com,,0,0,
KING KONG,KING,KONG,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,kkong@acmetesting.com,,0,0,
Mad Hatter,Mad,Hatter,0,1,0:02:14,FALSE,FALSE,FALSE,TRUE,Passed,mhatter@acmetesting.com,01/17/2021,0,0,
Mister Hyde,Mister,Hyde,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,mhyde@acmetesting.com,,0,0,
Moby Dick,Moby,Dick,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,MDICK@ACMETESTING.COM,,0,0,
Mother Goose,Mother,Goose,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,mgoose@acmetesting.com,,0,0,
Natty Bumppo,Natty,Bumppo,0,1,0:02:21,FALSE,FALSE,FALSE,TRUE,Passed,nbumppo@acmetesting.com,04/13/2020,0,0,
Paul Bunyan,Paul,Bunyan,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,pbunyan@acmetesting.com,,0,0,
Robin Hood,Robin,Hood,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,rhood@acmetesting.com,,0,0,
Sherlock Holmes,Sherlock,Holmes,0,1,0:02:21,FALSE,FALSE,FALSE,TRUE,Passed,s_holmes@acmetesting.com,03/26/2020,0,0,
Tin Woodman,Tin,Woodman,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,t woodman@acmetesting.com,,0,0,
White Rabbit,White,Rabbit,0,0,0:00:00,FALSE,FALSE,FALSE,FALSE,Not Attempted,wrabbit@acmetesting.com,,0,0,
