FullName,FirstName,LastName,Username,TotalCourses,TotalAssigned,TotalCompleted,TotalNotStarted,TotalStarted,Marking,Up To Date,Complete %,Complete,Assigned Date,Points Earned,Badges Earned,Brand,Active,External Employee ID,CompanyName,Email,Title,CustomField1,CustomField2,CustomField3,CustomField4,CustomField5,CustomField6,CustomField7,CustomField8,CustomField9,CustomField10
James Moriarty,James,Moriarty,jmoriarty@acmetesting.com,8,0,6,1,1,FALSE,TRUE,75,FALSE,3/15/2017,0,0,Default,TRUE,,ACME Testing Agency,jmoriarty@acmetesting.com,R&D Lead,,,,,,,,,,
Dorian Gray,Dorian,Gray,dgray@acmetesting.com,8,0,6,1,1,FALSE,TRUE,80,TRUE,9/23/2020,0,0,Default,TRUE,,ACME Testing Agency,dgray@acmetesting.com,,,,,,,,,,,
Don Quixote,Don,Quixote,quixoted@acmetesting.com,8,0,4,4,0,FALSE,TRUE,50,FALSE,8/27/2020,0,0,Default,TRUE,,ACME Testing Agency,quixoted@acmetesting.com,,,,,,,,,,,
Cowardly Lion,Cowardly,Lion,clion,8,0,2,6,0,FALSE,TRUE,25,FALSE,4/3/2020,0,0,Default,TRUE,,ACME Testing Agency,clion@acmetesting.com,Harvester,,,,,,,,,,
KING KONG,KING,KONG,kkong@acmetesting.com,8,0,2,4,2,FALSE,TRUE,25,FALSE,4/11/2019,0,0,Default,TRUE,,ACME Testing Agency,kkong@acmetesting.com,Engineer,,,,,,,,,,
Jack Pumpkinhead,Jack,Pumpkinhead,jpumpkinhead@acmetesting.com,8,0,2,6,0,FALSE,TRUE,25,FALSE,8/20/2018,0,0,Default,TRUE,,ACME Testing Agency,jpumpkinhead@acmetesting.com,Holiday Coordinator,,,,,,,,,,
Dorothy Gale,Dorothy,Gale,dgale@acmetesting.com,8,0,1,7,0,FALSE,TRUE,12,FALSE,10/28/2020,0,0,Default,TRUE,,ACME Testing Agency,dgale@acmetesting.com,,,,,,,,,,,
Tin Woodman,Tin,Woodman,t woodman@acmetesting.com,8,0,1,7,0,FALSE,TRUE,12,FALSE,8/23/2018,0,0,Default,TRUE,,ACME Testing Agency,t woodman@acmetesting.com,Cutter,,,,,,,,,,
Doctor Jekyll,Doctor,Jekyll,djekyll@acmetesting.com,8,0,1,7,0,FALSE,TRUE,12,FALSE,7/27/2020,0,0,Default,TRUE,,ACME Testing Agency,djekyll@acmetesting.com,Chief Scientist,,,,,,,,,,
Mister Hyde,Mister,Hyde,mhyde@acmetesting.com,8,0,1,6,1,FALSE,TRUE,23,FALSE,10/26/2018,0,0,Default,TRUE,,ACME Testing Agency,mhyde@acmetesting.com,Researcher - Mayhem,,,,,,,,,,
White Rabbit,White,Rabbit,wrabbit@acmetesting.com,8,0,1,7,0,FALSE,TRUE,12,FALSE,8/20/2018,0,0,Default,TRUE,,ACME Testing Agency,wrabbit@acmetesting.com,,,,,,,,,,,
Paul Bunyan,Paul,Bunyan,pbunyan@acmetesting.com,8,0,1,7,0,FALSE,TRUE,12,FALSE,11/30/2020,0,0,Default,TRUE,,ACME Testing Agency,pbunyan@acmetesting.com,,,,,,,,,,,
Captain Nemo,Captain,Nemo,cnemo@acmetesting.com,8,0,1,6,1,FALSE,TRUE,23,FALSE,8/20/2018,0,0,Default,TRUE,,ACME Testing Agency,cnemo@acmetesting.com,,,,,,,,,,,
Ebenezer (Ben) Scrooge,Ebenezer (Ben),Scrooge,escrooge@acmetesting.com,8,0,0,8,0,FALSE,TRUE,0,FALSE,6/18/2018,0,0,Default,FALSE,,ACME Testing Agency,escrooge@acmetesting.com,CFO,,,,,,,,,,
Robin Hood,Robin,Hood,rhood@acmetesting.com,8,0,0,8,0,FALSE,TRUE,0,FALSE,8/23/2018,0,0,Default,FALSE,,ACME Testing Agency,rhood@acmetesting.com,Accounting,,,,,,,,,,
Humpty Dumpty,Humpty,Dumpty,hdumpty@acmetesting.com,8,0,0,6,2,FALSE,TRUE,11,FALSE,8/23/2018,0,0,Default,TRUE,,ACME Testing Agency,hdumpty@acmetesting.com,,,,,,,,,,,
Mother Goose,Mother,Goose,mgoose@acmetesting.com,8,0,0,7,1,FALSE,TRUE,0,FALSE,7/13/2016,0,0,Default,TRUE,,ACME Testing Agency,mgoose@acmetesting.com,Day Care Supervisor,,,,,,,,,,
Sherlock Holmes,Sherlock,Holmes,s_holmes@acmetesting.com,8,0,0,8,0,FALSE,TRUE,0,FALSE,8/23/2018,0,0,Default,TRUE,,ACME Testing Agency,s_holmes@acmetesting.com,Lead Investigator,,,,,,,,,,
John Carter,John,Carter,jcarter@acmetesting.com,8,0,0,8,0,FALSE,TRUE,0,FALSE,1/29/2020,0,0,Default,TRUE,,ACME Testing Agency,jcarter@acmetesting.com,,,,,,,,,,,
Natty Bumppo,Natty,Bumppo,nbumppo@acmetesting.com,8,0,0,7,1,FALSE,TRUE,0,FALSE,11/6/2018,0,0,Default,TRUE,,ACME Testing Agency,nbumppo@acmetesting.com,,,,,,,,,,,
King Arthur,King,Arthur,karthur@acmetesting.com,8,0,0,8,0,FALSE,TRUE,0,FALSE,8/20/2018,0,0,Default,TRUE,,ACME Testing Agency,karthur@acmetesting.com,CEO & King,,,,,,,,,,
Cheshire Cat,Cheshire,Cat,ccat@acmetesting.com,8,0,0,8,0,FALSE,TRUE,0,FALSE,3/25/2020,0,0,Default,FALSE,,ACME Testing Agency,ccat@acmetesting.com,Marketing,,,,,,,,,,
Mad Hatter,Mad,Hatter,mhatter@acmetesting.com,8,0,0,7,1,FALSE,TRUE,0,FALSE,12/6/2018,0,0,Default,TRUE,,ACME Testing Agency,mhatter@acmetesting.com,Production,,,,,,,,,,
Moby Dick,Moby,Dick,MDICK@ACMETESTING.COM,8,0,0,8,8,FALSE,TRUE,100,TRUE,9/20/2018,0,0,Default,TRUE,,ACME Testing Agency,MDICK@ACMETESTING.COM,,,,,,,,,,,
Captain Ahab,Captain,Ahab,cahab@acmetesting.com,8,0,0,7,1,FALSE,TRUE,0,FALSE,2/28/2017,0,0,Default,FALSE,,ACME Testing Agency,cahab@acmetesting.com,,,,,,,,,,,
